Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
69101,283.2,262.95,255.65,245.45,216.55,Panettone Muffin Cups P70/50*,Qualita Paper,2000ct,CASE,N,P70/50,,NON-FOOD ITEMS,Y,,0,0.0,07/26/23,CASE,Panettone Muffin Cups P70/50*,0,1.0,1.0,07/26/23
69125,25.15,24.8,24.45,23.5,20.75,"Pastry Bags Disposable 21""",Westco,100ct,PC.,N,,,NON-FOOD ITEMS,N,,10,0.0,/  /,PC.,"Pastry Bags Disposable 21""",10,8.0,8.0,07/27/23
69921,21.1,0.0,0.0,19.7,17.4,Green Tea Unwrapped Pyramids,Teatulia,50ct,BAG,N,,,COFFEE & TEA,N,,4,0.0,/  /,BAG,Green Tea Unwrapped Pyramids,4,3.0,3.0,07/27/23
69933,37.5,0.0,0.0,35.0,30.9,Black Iced Tea Portion Packs,Teatulia,24/1.5oz,CASE,N,,,COFFEE & TEA,N,,1,0.0,/  /,CASE,Black Iced Tea Portion Packs,1,5.0,5.0,07/27/23
70002,73.7,72.65,71.65,68.8,60.7,Croissant Large,Delifrance,60/2.47oz,CASE,N,27234,,CROISS & DANISH,N,,2,0.0,/  /,CASE,Croissant Large,2,4.0,4.0,07/31/23
70006,69.15,68.2,67.25,64.55,56.95,Apple Turnover Large,Delifrance,48/3.5oz,CASE,N,S8775,**FRAGILE**,CROISS & DANISH,N,,0,0.0,/  /,CASE,Apple Turnover Large,0,15.0,15.0,07/31/23
70015,84.75,83.55,82.4,79.1,69.8,Croissant Almond Large,Delifrance,48/3.2oz,CASE,N,S9072,,CROISS & DANISH,N,,7,0.0,/  /,CASE,Croissant Almond Large,7,4.0,4.0,07/31/23
70016,85.95,84.75,83.55,80.2,70.8,Croissant Mini,Delifrance,180/1.5oz,CASE,N,27863,,CROISS & DANISH,N,,12,0.0,/  /,CASE,Croissant Mini,12,10.0,10.0,07/31/23
71019,135.8,172.8,169.75,166.75,158.4,Palm Oil Organic,Spectrum,33lb,CASE,N,,,OILS VEGETABLE,Y,,3,0.0,/  /,CASE,Palm Oil Organic,3,4.0,4.0,07/27/23
71043,46.2,45.55,44.95,43.15,38.05,Sanding Sugar White,Kerry,8lb,PC.,N,,,SUGAR & FONDANT,N,,0,0.0,/  /,PC.,Sanding Sugar White,0,10.0,10.0,07/27/23
71059,49.45,0.0,0.0,46.15,40.75,White Wine Vinegar 2/5L,Beaufor,2/5L,CASE,N,,,VINEGARS,N,,12,0.0,/  /,CASE,White Wine Vinegar 2/5L,12,10.0,10.0,08/03/23
