"Item Number","Unit of Measure","Description Line 1","On Hand Quantity","Quantity Ordered","Open Balance","Expected Date"
"13088","CASE","Tasso Ham",4,14.00,14.00,"07/27/23"
"14003","CASE","Beef Jerky 12/4oz",1,2.00,2.00,"07/27/23"
"71511","CASE","Tapas Hojaldrada Empanada Dough*",12,8.00,8.00,"07/27/23"
"51280","PC.","Achiote Paste",10,8.00,8.00,"07/27/23"
"45617","CASE","Harina Blanca Amarilla",5,1.00,1.00,"07/27/23"
"45622","CASE","Plantain Chips w/sea salt*",2,2.00,2.00,"07/27/23"
"45615","CASE","Aji Mirasol 12/7.5oz*",2,2.00,2.00,"07/27/23"
"80101","PAIL","Fondant Patissier",14,8.00,8.00,"07/31/23"
"45290","CASE","BelCoat Dark Confectionery Coating",11,6.00,6.00,"07/31/23"
"80107","CASE","Chocolate Batons 300ct",9,4.00,4.00,"07/31/23"
"80015","PAIL","Sugar Trimoline Inverted",9,4.00,4.00,"07/31/23"
"76125","CASE","Tart Shell Straight 3.75"" Sweet",9,6.00,6.00,"07/31/23"
"59430","CASE","Choc Couverture Misterio 58%",9,6.00,6.00,"07/31/23"
"80117","PAIL","Glucose Dried",7,4.00,4.00,"07/31/23"
"45291","CASE","BelCoat White Confectionery Coating",5,6.00,6.00,"07/31/23"
"66170","TUB","Pistachio Paste DGF 1kg",4,1.00,1.00,"07/31/23"
"59431","CASE","Choc Couverture Perla 64%",3,3.00,3.00,"07/31/23"
"77897","PAIL","Mirror Glaze Cold",2,6.00,6.00,"07/31/23"
"66138","CASE","Pistachio Paste",2,1.00,1.00,"07/31/23"
"88039","CASE","Microdrops Mixed 25,000ct",1,1.00,1.00,"07/31/23"
"88035","CASE","Curls White Blossom",1,5.00,5.00,"07/31/23"
"80118","CASE","Fruit Pectin*",1,4.00,4.00,"07/31/23"
"80110","BAG","Genoise Mix",1,1.00,1.00,"07/31/23"
"80100","PAIL","Apricot Glaze",1,1.00,1.00,"07/31/23"
"66142","CASE","Strawberry Paste",1,1.00,1.00,"07/31/23"
"59450","CASE","Cup Mini Dark Chocolate",1,1.00,1.00,"07/31/23"
"88030","CASE","Curls Dark Blossom",0,10.00,10.00,"07/31/23"
"66185","PC.","Raspberry Paste*",0,3.00,3.00,"07/31/23"
"66167","CASE","Orange Paste*",0,1.00,1.00,"07/31/23"
"00007","EACH","Freight / Fuel Charges",0,1.00,1.00,"07/31/23"
"51070","CASE","Saucisson Basque 2/4lb",0,4.00,4.00,"07/27/23"
"51063","CASE","Salami Finocchiona 2/4lb",0,6.00,6.00,"07/27/23"
"50057","CASE","Sansho Powder",0,3.00,3.00,"08/01/23"
"50055","CASE","Roasted Golden Sesame Seeds*",0,1.00,1.00,"08/01/23"
"50051","CASE","Liquid Shio Koji",0,12.00,12.00,"08/01/23"
"15006","CASE","Everything Bagels 4oz",47,40.00,40.00,"07/31/23"
"15052","CASE","Blueberry Bagels 4.5oz",14,10.00,10.00,"07/31/23"
"15063","CASE","Jalapeno Cheddar Bagels 4.5oz",13,20.00,20.00,"07/31/23"
"15054","CASE","French Toast Bagels 4.5oz",5,10.00,10.00,"07/31/23"
"00007","EACH","Freight / Fuel Charges",0,1.00,1.00,"07/31/23"
"15010","CASE","Garlic Bagels 4oz",0,10.00,10.00,"07/31/23"
"15001","CASE","Plain Bagels 4oz",97,60.00,60.00,"08/07/23"
"15006","CASE","Everything Bagels 4oz",47,90.00,90.00,"08/07/23"
"15063","CASE","Jalapeno Cheddar Bagels 4.5oz",13,10.00,10.00,"08/07/23"
"15054","CASE","French Toast Bagels 4.5oz",5,20.00,20.00,"08/07/23"
"00007","EACH","Freight / Fuel Charges",0,2.00,2.00,"08/07/23"
"33041","BAG","Coconut Ribbon Chip Unsweet",3,2.00,2.00,"07/26/23"
"77041","CASE","Peaches Dried",0,1.00,1.00,"07/26/23"
