"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"88048P",44.25,40.50,39.95,38.35,33.85,"Paillette Fin Chocolate 4.4lb","ifigourmet","4.4lb","PC.","N","96370","","CHOCOLATE DECOR","N",,0,0.00,"/  /"
"88049",64.30,63.40,62.50,60.00,52.95,"Spice Container Small LID*","Potenza","90ct","CASE","N","","","NON-FOOD ITEMS","N",,0,0.00,"/  /"
"88051",25.12,24.10,23.80,22.85,20.15,"Gummy Bears 5lb","Albanese","5lb","BAG","N","","","SNACKS & CANDY","N",,2,0.00,"/  /"
"88052",5.35,5.25,5.20,5.00,4.40,"Pretzel Chocolate Covered","Potenza","15lbs","CASE","Y","","","SNACKS & CANDY","N",,5,15.00,"/  /"
"88054",7.10,7.00,6.95,6.65,5.85,"Almonds Chocolate Covered*","Potenza","20lbs","CASE","Y","","","SNACKS & CANDY","Y",,0,0.00,"/  /"
"88056",111.60,110.00,108.50,104.15,91.90,"M&M Mini Chocolate Candies*","M&M","15lb","CASE","N","","","SNACKS & CANDY","Y",,1,0.00,"/  /"
"88058",5.50,5.45,5.35,5.15,4.55,"Pepitas Roasted Salted","Potenza","20lbs","CASE","Y","","","NUTS","N",,3,21.00,"/  /"
"88058P",5.75,5.45,5.35,5.15,4.55,"Pepitas Roasted Salted 5lb","Potenza","5lb","PC.","Y","","","NUTS","N",,10,5.00,"/  /"
"88059",5.55,5.15,5.10,4.90,4.30,"Cashew Pieces Raw*","Potenza","50lb","CASE","Y","","","NUTS","N",,7,51.00,"/  /"
"88059P",5.55,5.15,5.10,4.90,4.30,"Cashews Pieces Raw 5lb*","Potenza","5lb","PC.","Y","","","NUTS","N",,8,5.25,"/  /"
"88060",4.35,4.25,4.20,4.05,3.55,"Spice Container Large Handle*","Potenza","54ct","PC.","N","","","NON-FOOD ITEMS","N",,0,0.00,"07/20/23"
"88061",4.60,4.50,4.45,4.30,3.80,"Spice Container Large LID*","Potenza","54ct","PC.","N","","","NON-FOOD ITEMS","N",,0,0.00,"07/20/23"
"88062",56.75,52.40,48.65,45.40,40.10,"Paprika Sweet Spanish LG*","Potenza","80oz","PC.","N","","","SPICES","Y",,0,0.00,"/  /"
"88063",216.95,201.45,195.85,188.00,165.90,"Paprika 140 Asta 50lb*","Potenza","50lb","CASE","N","","","SPICES","Y",,0,0.00,"/  /"
"88065",131.45,129.60,127.80,122.70,108.25,"Spice Container Medium Handle*","Potenza","54ct","CASE","N","","","NON-FOOD ITEMS","N",,0,0.00,"/  /"
"88070",68.70,63.80,62.05,59.55,52.55,"Dextrose 50lb*","Potenza","50lb","PC.","N","","","TECHNCAL NGRDNT","N",,0,0.00,"/  /"
"88101",55.25,54.50,53.70,51.55,50.25,"Pretzel Twist 5oz","Prop & Peller","32ct","CASE","N","PPP32K","Salt Included","BREAD","N",,2,0.00,"/  /"
"88102",44.15,43.55,42.95,42.35,36.35,"Pretzel Twist 10oz","Prop & Peller","12ct","CASE","N","PPP12J","Salt Included","BREAD","N",,33,0.00,"/  /"
"88103",51.40,50.70,50.00,48.00,42.35,"Pretzel Twist 16oz","Prop & Peller","4/2ct","CASE","N","PPP16T8B","","BREAD","N",,32,0.00,"/  /"
"88104",77.10,76.00,74.95,71.95,63.50,"Pretzel Bites","Prop & Peller","500/0.48oz","CASE","N","PPP480","Salt Included","BREAD","N",,13,0.00,"/  /"
"88106",70.70,69.75,68.75,66.00,58.25,"Pretzel Zeppelin Stick 1.14oz","Prop & Peller","140ct","CASE","N","PPP5S140B","Salt Included - 5""","BREAD","N",,33,0.00,"/  /"
"88107",45.40,44.80,44.15,42.40,37.40,"Pretzel Sub 6.5"" 3.7oz","Prop & Peller","45ct","CASE","N","PPP65S45B","","BREAD","N",,0,0.00,"/  /"
"88108",63.60,62.70,61.85,59.35,52.40,"Pretzel Bun 4"" 3oz","Prop & Peller","72ct","CASE","N","PPP4B72B","Salt Not Included","BREAD","N",,-1,0.00,"/  /"
"88150",37.60,37.05,36.55,35.10,30.95,"Maltosec Tapioca Maltodextrin-500gr","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,12,0.00,"/  /"
"88151",145.40,143.35,143.35,135.70,119.75,"Gellan Gum 500gr","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,8,0.00,"/  /"
"88152",36.35,35.85,35.85,33.95,29.95,"Ascorbic Acid 1kg","Sosa","1kg","PC.","N","","","TECHNCAL NGRDNT","N",,7,0.00,"/  /"
"88153",56.40,55.60,55.60,52.65,46.45,"Agar Agar Powder","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,5,0.00,"/  /"
"88154",180.00,177.50,175.00,168.00,148.25,"Transglutaminase Activa RM","Moo Glue","1kg","BAG","N","","","TECHNCAL NGRDNT","N",,7,0.00,"/  /"
"88155",47.15,46.50,46.50,44.00,38.80,"Fruit Pectin NH-500gr","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,9,0.00,"/  /"
"88156",69.30,68.30,67.35,64.65,57.05,"Albumin Powdered Egg Whites*","Modernist Pantr","400g","PC.","N","","","TECHNCAL NGRDNT","Y",,0,0.00,"/  /"
"88157",60.95,0.00,0.00,56.90,50.20,"Pro Pannacotta (Iota)","Sosa","800g","PC.","N","","","PASTRY INGRDNTS","N",,0,0.00,"/  /"
"88158",39.65,39.10,39.10,37.00,32.65,"Yellow (Jaune) Pectin-500gr","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,4,0.00,"/  /"
"88159",35.00,34.55,34.55,32.70,28.85,"Vegetal Gelling Agent-500gr","Sosa","500g","PC.","N","","","TECHNCAL NGRDNT","N",,6,0.00,"/  /"
"88161",39.70,39.10,39.10,37.05,32.70,"Guar Gum-750gr","Sosa","750gr","PC.","N","","","TECHNCAL NGRDNT","N",,9,0.00,"/  /"
"88162",123.80,122.05,122.05,115.55,101.95,"Procrema 100 Ice Cream Stabilizer","Sosa","3kg","PC.","N","","","TECHNCAL NGRDNT","N",,13,0.00,"/  /"
"88164",20.65,20.35,20.35,19.25,17.00,"Glucose Syrup DE60-1.5kg","Sosa","1.5kg","PC.","N","","","SUGAR & FONDANT","N",,4,0.00,"/  /"
"88165",80.75,79.65,79.65,75.40,66.50,"Prosorbet 100 Sorbet Stabilizer","Sosa","3kg","PC.","N","","","TECHNCAL NGRDNT","N",,9,0.00,"/  /"
"88166",69.60,68.60,68.60,64.95,50.09,"Strawberry Crispy Wet Proof- 400g","Sosa","400gr","PC.","N","","","TECHNCAL NGRDNT","N",,4,0.00,"/  /"
"88167",64.35,63.45,63.45,60.05,53.00,"Raspberry Crispy Wet Proof- 400g","Sosa","400gr","PC.","N","","","TECHNCAL NGRDNT","N",,9,0.00,"/  /"
"88168",53.30,52.55,52.55,49.75,43.90,"Passion Fruit Crspy Wet Proof- 400g","Sosa","400gr","PC.","N","","","TECHNCAL NGRDNT","N",,7,0.00,"/  /"
"88169",51.25,50.55,50.55,47.85,42.20,"Peta Crispy Neutral (Pop Rocks)700g","Sosa","700gr","PC.","N","","","TECHNCAL NGRDNT","N",,5,0.00,"/  /"
"88170",19.65,19.40,19.40,18.35,16.20,"Glucose Syrup DE40-1.5kg","Sosa","1.5kg","PC.","N","","","SUGAR & FONDANT","N",,10,0.00,"/  /"
"88171",62.55,61.65,61.65,58.35,51.50,"Blue Food Color (Powdered)-200gr","Sosa","200gr","PC.","N","","","COLORANTS","N",,3,0.00,"/  /"
"88172",61.60,60.75,60.75,57.50,50.75,"Orange Food Color (Powdered)-300gr","Sosa","300gr","PC.","N","","","COLORANTS","N",,2,0.00,"/  /"
"88173",61.10,60.25,60.25,57.05,50.35,"Pink Food Color (Powdered)-200gr","Sosa","200gr","PC.","N","","","COLORANTS","N",,8,0.00,"/  /"
"88174",39.90,39.35,39.35,37.25,32.85,"Purple Food Color (Powdered)-200gr","Sosa","200gr","PC.","N","","","COLORANTS","N",,7,0.00,"/  /"
"88175",57.35,56.55,56.55,53.55,47.25,"Red Food Color (Powdered)-200gr","Sosa","200gr","PC.","N","","","COLORANTS","N",,5,0.00,"/  /"
"88176",11.80,11.65,11.50,11.00,9.75,"Gelcream Cold 500gr","Sosa","500gr","PC.","N","","","TECHNCAL NGRDNT","N",,16,0.00,"/  /"
"88200",90.75,88.15,86.90,82.25,72.60,"Almond Butter Creamy","Kevala","7lb","PAIL","N","","","PRESERVES","N",,12,0.00,"/  /"
