"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"00003",22.00,0.00,0.00,0.00,0.00,"Handling / Packaging Charge","","","EACH","N","","","","N",,0,0.00,"/  /"
"00004",0.00,0.00,0.00,0.00,0.00,"Please send COA for above item","","","EACH","N","","","","N",,0,0.00,"/  /"
"00005",0.00,0.00,0.00,-0.05,-0.05,"Price Adjustment","","","EACH","N","","","","N",,0,0.00,"/  /"
"00006",10.00,0.00,0.00,0.00,0.00,"Insufficient Funds","","","EACH","N","","","","N",,0,0.00,"/  /"
"00007",5.00,0.00,0.00,0.00,0.00,"Freight / Fuel Charges","","","EACH","N","","","","N",,0,0.00,"07/26/23"
"00008",0.00,0.00,0.00,0.00,0.00,"Pallet Charge","","","EACH","N","","","","N",,9,0.00,"/  /"
"00010",15.30,14.20,13.80,13.25,11.70,"Basil Concentrated Flavor*","Monin","375mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00012",0.00,0.00,0.00,0.00,0.00,"Altamira Chef's Supper Club 2021","","","EACH","N","","","","N",,0,0.00,"/  /"
"00016",12.70,11.80,11.50,11.00,9.75,"Vanilla Syrup","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","N",,28,0.00,"/  /"
"00019",13.05,12.10,11.80,11.30,10.00,"Vanilla Syrup Sugar Free*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00026",14.80,15.60,15.40,14.80,13.05,"Pine Cone Syrup","Mugolio","100g","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00027",12.70,11.65,11.50,11.00,9.75,"Lavender Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00030",0.00,0.00,0.00,0.00,0.00,"Restocking Fee (25% of Sale Price)","","","CASE","N","","","","N",,0,0.00,"/  /"
"00032",12.70,11.80,11.50,11.00,9.75,"Pear Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00040",36.50,36.00,35.50,34.10,30.10,"Green Apple SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00041",19.00,18.75,18.50,17.75,15.65,"Blue Raspberry SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00042",19.55,19.30,19.00,18.25,16.10,"Strawberry SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00053",12.60,12.40,12.25,11.75,10.40,"Almond Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,6,0.00,"/  /"
"00060",5.35,0.00,0.00,5.00,4.40,"Parmesan Block For Shredding","Potenza","40lb","CASE","Y","","","CHEESE ITALY","N",,0,40.00,"07/24/23"
"00060G",6.00,5.60,5.50,5.20,5.45,"Parmesan Grated 5lb*","Potenza","5lb","PC.","Y","","","CHEESE ITALY","N",,14,5.00,"/  /"
"00060P",5.50,0.00,0.00,5.00,4.40,"Parmesan Shredded 5lb","Potenza","5lb","PC.","Y","","","CHEESE ITALY","N",,7,5.00,"/  /"
"01064",24.00,23.35,23.00,22.10,19.50,"Salmon Norwegian Unsliced Nova","Acme","5/6lb","CASE","Y","","","FISH SMOKED","N",,0,30.00,"/  /"
"01064P",24.00,23.35,23.00,22.10,19.50,"Salmon Norwegian Unsliced Nova 6lb","Acme","6lb","PC.","Y","","","FISH SMOKED","N",,4,6.50,"/  /"
"10000",310.50,310.50,301.85,289.80,255.70,"Atlantic Nova Salmon 12/16oz","Acme","12/16oz","CASE","N","","","FISH SMOKED","N",,3,0.00,"/  /"
"10000P",25.90,25.90,25.20,24.15,21.35,"Atlantic Nova Salmon 16oz","Acme","16oz","PC.","N","23384 10409","","FISH SMOKED","N",,11,0.00,"/  /"
"10003",6.35,6.15,6.00,5.75,5.10,"Flour Hazelnut","Potenza","25lb","CASE","Y","","","FLOUR","N",,8,25.00,"/  /"
"10003P",6.65,6.15,6.00,5.75,5.10,"Flour Hazelnut 5lb","Potenza","5lb","PC.","Y","","","FLOUR","N",,6,5.00,"/  /"
"10004",227.85,227.85,221.50,212.65,187.65,"Matjes Herring Fillets*","Blue Hill Bay","6/3lb","CASE","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10004P",38.00,38.00,36.95,35.45,31.30,"Matjes Herring Fillets 3lb*","Blue Hill Bay","3lb","PC.","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10010",106.25,104.75,103.30,99.15,87.50,"Salmon Smoked All Nat 12/4oz","Acme","12/4oz","CASE","N","","","FISH SMOKED","N",,1,3.50,"/  /"
"10013",46.80,46.15,45.50,43.70,65.50,"Sable Plate*","Acme","1.5lb","PC.","Y","","","FISH SMOKED","Y",,12,1.75,"/  /"
"10016",237.90,237.90,231.30,222.05,195.95,"Whitefish Salad*","Acme","4/5lb","CASE","N","Best By Date:","","FISH SMOKED","Y",,3,0.00,"/  /"
"10016P",60.35,60.35,58.70,56.35,49.70,"Whitefish Salad 5lb*","Acme","5lb","PC.","N","Best By Date:","","FISH SMOKED","Y",,-1,0.00,"/  /"
"10019",88.95,88.95,0.00,83.05,73.25,"Whitefish Salad 12/7oz","Acme","12/7oz","CASE","N","","","FISH SMOKED","Y",,1,0.00,"/  /"
"10022",76.20,64.50,58.20,55.90,49.30,"Home Style Pancit Noodle **","Golden World","4/5lb","CASE","N","","","ASIAN FOODS","N",,30,22.00,"/  /"
"10030",88.65,87.40,86.20,82.75,73.05,"Rainbow Trout Filet Smoked 12/5oz","Blue Hill Bay","12/5oz","CASE","N","","","FISH SMOKED","N",,6,0.00,"/  /"
"10033",28.60,28.20,27.80,26.70,23.55,"Peppermint Flavor","Boyajian","12.7oz","PC.","N","","","EXTRACTS","N",,11,0.00,"/  /"
"10038",39.95,39.20,38.55,37.85,37.25,"Idli Rice*","Potenza","20lb","BAG","N","","","RICE","Y",,2,0.00,"/  /"
"10039",93.80,92.50,91.20,87.55,77.25,"Smoked Salmon BBQ 12/4oz","Blue Hill Bay","12/4oz","CASE","N","12016B","","FISH SMOKED","N",,4,0.00,"/  /"
"10040",93.80,92.50,91.20,87.55,77.25,"Smoked Salmon Herb 12/4oz","Blue Hill Bay","12/4oz","CASE","N","12017B","","FISH SMOKED","N",,1,0.00,"/  /"
"10040P",8.05,7.85,7.60,7.30,6.45,"Smoked Salmon Herb 4oz","Blue Hill Bay","4oz","PC.","N","12017B","","FISH SMOKED","N",,0,0.00,"/  /"
"10041",42.10,42.10,40.95,39.30,49.10,"Sesame Oil Hot Blended","Lee Kum Kee","12/3.9oz","CASE","N","","","ASIAN FOODS","N",,2,0.00,"/  /"
"10041P",3.80,3.55,3.45,3.30,4.50,"Sesame Oil Hot Blended 3.9oz","Lee Kum Kee","3.9oz","PC.","N","","","ASIAN FOODS","N",,4,0.00,"/  /"
"10044",188.60,188.60,183.35,176.00,220.00,"Sesame Chili Oil 6/33oz","Layu","6/33oz","CASE","N","","","ASIAN FOODS","N",,2,13.00,"/  /"
"10044P",31.45,31.45,30.60,29.35,36.70,"Sesame Chili Oil 33oz","Layu","33oz","PC.","N","","","ASIAN FOODS","N",,1,0.00,"/  /"
"10045",16.25,16.00,16.25,15.15,13.40,"Whitefish Smoked 8/12oz","Acme","8/12oz","CASE","Y","","","FISH SMOKED","N",,3,6.75,"/  /"
"10045P",16.75,16.00,16.25,15.15,13.40,"Whitefish Smoked 12oz","Acme","12oz","PC.","Y","","","FISH SMOKED","N",,10,0.75,"/  /"
"10046",208.15,205.20,202.35,194.25,171.40,"Rainbow Trout Filet Smoked 10/1lb","Blue Hill Bay","10/1lb","CASE","N","","","FISH SMOKED","N",,5,0.00,"/  /"
"10047",19.40,19.10,19.40,18.10,15.95,"Whitefish Smoked Sides","Acme","20lb","CASE","Y","","","FISH SMOKED","N",,5,20.00,"/  /"
"10048",24.95,24.60,24.30,23.30,20.55,"Salmon Smoked P/S*","Blue Hill Bay","2/2.5lb","CASE","Y","","","FISH SMOKED","Y",,0,6.75,"/  /"
"10050",43.55,42.95,42.35,40.65,35.85,"Sable Pieces*","Acme","5lb","CASE","Y","","","FISH SMOKED","Y",,2,6.00,"/  /"
"10057",203.30,197.50,192.00,184.30,162.65,"Red Boat Fish Sauce 40 N","Red Boat","6/64oz","CASE","N","","","ASIAN SAUCES","N",,20,0.00,"/  /"
"10057P",35.85,34.85,33.85,32.50,28.70,"Red Boat Fish Sauce 40 N 64oz","Red Boat","64oz","PC.","N","","","ASIAN SAUCES","N",,0,0.00,"/  /"
"10059",53.75,51.50,50.75,48.75,43.00,"Red Boat Fish Sauce 40�N 8oz*","Red Boat","6/8OZ","CASE","N","","","ASIAN SAUCES","Y",,1,0.00,"/  /"
"10064",44.00,44.00,43.40,41.10,36.25,"Rice Jasmine 25lb","Ambrosia","25lb","BAG","N","","","RICE","N",,9,0.00,"/  /"
"10065",82.85,82.85,81.70,77.35,68.25,"Rice Jasmine 50lb","Mayflower","50lb","BAG","N","","","RICE","N",,2,0.00,"/  /"
"10067",188.70,172.75,170.35,163.55,144.30,"Eel Coating Sauce*","Banko","6/5.2lb","CASE","N","","","ASIAN SAUCES","N",,0,0.00,"/  /"
"10067P",31.45,28.80,28.40,27.30,24.05,"Eel Coating Sauce 5.2lb*","Banko","5.2lb","PC.","N","","","ASIAN SAUCES","N",,1,0.00,"/  /"
"10068",45.75,45.10,44.45,42.70,35.60,"Soup Dumpling Pork","Mila","2/50ct","CASE","N","","","ASIAN FOODS","N",,153,0.00,"/  /"
"10068P",22.90,22.55,22.25,21.35,17.80,"Soup Dumpling Pork","Mila","50ct","PC.","N","","","ASIAN FOODS","N",,0,0.00,"/  /"
"10069",45.75,45.10,44.45,42.70,35.60,"Soup Dumpling Chicken","Mila","2/50ct","CASE","N","","","ASIAN FOODS","N",,77,0.00,"/  /"
"10069P",22.90,22.55,22.25,21.35,17.80,"Soup Dumpling Chicken","Mila","50ct","PC.","N","","","ASIAN FOODS","N",,0,0.00,"/  /"
"10070",57.15,56.35,55.60,53.35,44.45,"Soup Dumpling pork and shrimp","Mila","2/50ct","CASE","N","","","ASIAN FOODS","N",,77,0.00,"/  /"
"10070P",28.60,28.20,27.80,26.70,22.25,"Soup Dumpling pork and shrimp","Mila","50ct","PC.","N","","","ASIAN FOODS","N",,0,0.00,"/  /"
"10071",16.70,15.40,14.30,14.30,14.30,"Pickled Burdock Root Yamagobo","Kyosai","1.1lb","PC.","N","","","ASIAN FOODS","N",,2,1.25,"/  /"
"10079",4.65,4.60,4.55,4.35,3.85,"Pickled Daikon Radish*","Tokai Takuan","35.2oz","PC.","N","","","ASIAN FOODS","Y",,2,2.50,"/  /"
"10087",70.50,69.50,68.55,65.80,58.05,"Dumpling Chicken Lemongrass","Chef One","3/50ct","CASE","N","","","HORS D'OEUVRES","N",,-1,0.00,"/  /"
"10088",82.65,81.50,80.35,77.15,68.10,"Dumpling Edamame","Chef One","3/50ct","CASE","N","","","HORS D'OEUVRES","N",,0,0.00,"07/26/23"
"10089",81.85,76.00,73.90,70.95,62.60,"Potsticker Pork","Chef One","3/50ct","CASE","N","","","HORS D'OEUVRES","N",,8,0.00,"/  /"
"10091",3.35,3.05,3.00,2.90,2.55,"Quail Eggs","Pacific","10ct","PC.","N","","","ASIAN FOODS","N",,5,0.00,"/  /"
"10093",34.65,34.15,33.65,32.35,28.55,"Teff Flour*","Bob's Red Mill","4/24oz","CASE","N","","","FLOUR","Y",,0,0.00,"/  /"
"10096",93.10,86.45,84.05,80.70,71.20,"Dumpling Kale & Veggie","Chef One","3/50ct","CASE","N","","","HORS D'OEUVRES","N",,7,0.00,"/  /"
"10101",38.50,35.25,34.75,33.35,29.45,"Belix Plate Square MEB02*","Belix","200ct","CASE","N","MEB02","","NON-FOOD ITEMS","Y",,1,0.00,"/  /"
"10112",95.40,87.35,86.15,82.70,72.95,"Belix Tall Glass Cup MB16*","Belix","200ct","CASE","N","MB16","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10114",96.60,88.45,87.25,83.75,73.90,"Belix Diamond Glass Cup MB18*","Belix","200ct","CASE","N","MB18","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10125",110.80,101.45,100.00,96.00,84.75,"Belix - Glass Tray (Small) *","Belix","48ct","CASE","N","MB31","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10126",192.35,176.10,173.65,166.70,147.10,"Belix - Glass Tray (Large) *","Belix","48ct","CASE","N","MB32","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10130",65.45,59.95,59.10,56.75,50.05,"Belix Square Cup Small MB39*","Belix","200ct","CASE","N","MB39","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10131",76.95,70.45,69.45,66.70,58.85,"Belix Square Cup Medium MB36*","Belix","200ct","CASE","N","MB36","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10132",80.85,74.00,73.00,70.05,61.85,"Belix Square Cup Tall MB37*","Belix","200ct","CASE","N","MB37","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10134",107.70,98.60,97.25,93.35,82.40,"Belix Bulged Square High*","Belix","200ct","CASE","N","PM01","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10135",73.85,67.65,66.70,64.00,56.50,"Belix Angled Cup Low PM07*","Belix","100ct","CASE","N","PM07","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10141",7.70,0.00,0.00,6.70,5.90,"Bamboo Looped Skewers 2.4"" B01*","Belix","250ct","CASE","N","B01","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10142",104.90,0.00,0.00,90.95,80.25,"Bamboo Stick Skewers 3.5"" B04*","Belix","2500ct","CASE","N","B04","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10143",164.45,152.70,0.00,142.55,125.75,"Bamboo Stick Skewers 4.7"" B05*","Belix","2500ct","CASE","N","B05","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10177",38.85,35.55,35.10,33.70,28.05,"Duck Sauce*","Three Lady","5 gal.","PAIL","N","","","ASIAN SAUCES","Y",,1,0.00,"/  /"
"10186",98.80,91.75,89.20,85.65,75.60,"Mr T Steak Seasoning Pail*","Potenza","17lb","PAIL","N","","","SPICES","Y",,-3,0.00,"/  /"
"10192",51.80,51.10,50.35,48.35,42.65,"Vanilla Bean Ice Cream Pints","Sweet Action","8/16oz","CASE","N","","","ICE CREAM","N",,1,0.00,"/  /"
"10193",51.80,51.10,50.35,48.35,42.65,"Stranahan's Whiskey Brickle Pints*","Sweet Action","8/16oz","CASE","N","","","ICE CREAM","Y",,1,0.00,"/  /"
"10195",26.70,26.30,25.95,24.90,23.35,"Sir Galahad Flour","King Arthur Flo","50lb","CASE","N","","","FLOUR","N",,56,0.00,"07/24/23"
"10197",22.80,22.50,22.15,21.30,18.80,"Whole Wheat Flour","King Arthur Flo","50lb","CASE","N","","","FLOUR","N",,50,0.00,"/  /"
"10198",26.80,26.40,26.05,25.00,22.05,"Special Patent Flour","King Arthur Flo","50lb","CASE","N","","","FLOUR","N",,63,0.00,"07/24/23"
"10199",27.80,27.40,27.05,25.95,25.30,"Sir Lancelot Hi Gluten Flour","King Arthur Flo","50lb","CASE","N","","","FLOUR","N",,219,0.00,"/  /"
"10200",95.19,85.22,69.30,64.95,61.15,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,65,0.00,"/  /"
"10200CA",77.60,72.75,80.85,77.60,68.50,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10200F",76.55,71.80,79.75,76.55,67.55,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,270,0.00,"/  /"
"10200N",92.04,82.07,65.10,61.00,57.45,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10200OH",79.10,78.00,76.90,73.80,65.15,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10200PA",71.15,66.70,74.10,71.15,62.80,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,360,0.00,"/  /"
"10200PAK",71.50,70.50,69.55,66.75,55.65,"Namur Semi-Sweet Kosher Pareve 55%","Allez","10 kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10200W",67.05,62.85,69.85,67.05,59.15,"Namur Semi-Sweet Choc Couv 55%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10201",95.84,81.55,75.75,70.70,62.40,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,446,0.00,"/  /"
"10201CA",79.70,78.60,77.50,74.40,65.65,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,360,0.00,"/  /"
"10201F",80.35,79.25,78.15,75.00,66.20,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10201N",92.87,77.00,71.50,66.75,58.90,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10201OH",84.90,83.70,82.50,79.20,69.90,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10201PA",72.55,68.00,75.60,72.55,64.00,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,855,0.00,"/  /"
"10201W",69.40,65.05,72.30,69.40,61.25,"Perron Dark Choc Couv 60%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,270,0.00,"/  /"
"10204",59.75,55.50,53.95,51.80,45.70,"Semi-Sweet Chocolate Chunks (Large)","Allez","8kg","CASE","N","","","CHOCOLATE CHIPS","N",,115,0.00,"/  /"
"10205",114.70,101.23,88.25,76.50,67.50,"Blanche White Chocolate Chips","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,55,0.00,"/  /"
"10205CA",0.00,0.00,0.00,0.00,0.00,"Blanche White Chocolate","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,0,0.00,"/  /"
"10205F",68.65,67.70,66.75,64.10,56.55,"Blanche White Chocolate","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10205N",103.95,95.86,80.00,69.30,61.15,"Blanche White Chocolate","Allez","10 kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10205PA",72.65,68.10,75.65,72.65,64.10,"Blanche White Chocolate","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,271,0.00,"/  /"
"10205W",74.35,73.30,72.30,69.40,61.25,"Blanche White Chocolate","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10206",98.50,90.25,90.25,83.35,63.75,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","N",,724,0.00,"/  /"
"10206CA",77.65,72.80,80.90,77.65,68.55,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,1620,0.00,"/  /"
"10206F",78.95,74.00,82.25,78.95,69.65,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,90,0.00,"/  /"
"10206N",92.50,84.80,84.80,78.30,59.85,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10206OH",84.25,83.05,81.90,78.65,69.40,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10206PA",72.35,67.80,75.35,72.35,63.80,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,1342,0.00,"/  /"
"10206W",70.95,66.55,73.95,70.95,62.60,"Brogne Milk Chocolate Couv 35%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,405,0.00,"/  /"
"10207",94.49,91.90,84.80,73.50,64.85,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","LOT CODE:","","CHOC COUVERTURE","N",,394,0.00,"/  /"
"10207CA",84.10,82.95,81.75,78.50,69.25,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10207F",84.70,83.50,82.35,79.05,69.75,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10207N",92.61,88.75,81.95,71.00,62.65,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","LOT CODE:","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10207PA",74.90,70.25,78.05,74.90,66.10,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,450,0.00,"/  /"
"10207W",72.65,68.10,75.70,72.65,64.10,"Dinant Dark Chocolate Couv 70%","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,180,0.00,"/  /"
"10208",116.00,98.15,90.60,78.50,69.30,"Cocoa Liquor 100%","Allez","10kg","CASE","N","LOT CODE:","","CHOC COUVERTURE","N",,46,0.00,"/  /"
"10208W",79.10,74.15,82.40,79.10,69.80,"Cocoa Liquor 100%","Allez","10 kg","CASE","N","","","CHOC COUVERTURE","Y",,90,0.00,"/  /"
"10209",152.25,131.20,118.45,113.70,100.35,"Cocoa Butter Chips","Allez","10kg","CASE","N","","","CHOC COMPOUNDS","N",,73,0.00,"/  /"
"10209PA",111.20,109.65,108.10,103.80,91.60,"Cocoa Butter Chips","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10209W",106.90,105.40,103.95,99.80,88.05,"Cocoa Butter Chips","Allez","10kg","CASE","N","","","CHOC COUVERTURE","Y",,0,0.00,"/  /"
"10220",37.70,37.15,36.65,35.15,31.05,"Fillet Anchovies Marinated-IMPORT","Private Label","4/1kg","CASE","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10250",0.00,0.00,0.00,50.80,44.80,"Cheese Wire-1200mm x 0.8mm","Boska","10PC","CASE","N","","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10252",5.30,5.25,5.15,4.95,4.40,"Mother Pearl Caviar Spoons*","Sturia Caviar","1 spoon","EACH","N","","","NON-FOOD ITEMS","Y",,35,0.00,"07/20/23"
"10299",14.40,14.20,14.00,13.40,11.85,"Bee Pollen","Potenza","30lb","CASE","Y","","","HONEY","N",,0,30.00,"/  /"
"10299P",0.73,0.72,0.72,0.70,0.65,"Bee Pollen 1lb","Potenza","1lb","PC.","Y","","","HONEY","N",,18,1.00,"/  /"
"10300",42.00,39.00,24.00,22.20,18.25,"Glucose Syrup 7kg","Allez","7kg","PAIL","N","Lot code:","","SUGAR & FONDANT","N",,915,0.00,"/  /"
"10304",73.30,65.30,60.30,0.00,0.00,"Glucose Syrup 15kg","Allez","15kg","PAIL","N","Lot code:","","SUGAR & FONDANT","N",,804,0.00,"/  /"
"10305",213.10,190.85,182.70,170.50,150.45,"Caramel Flakes","Allez","15kg","PAIL","N","","","PASTRY INGRDNTS","N",,21,0.00,"/  /"
"10305P",22.05,16.45,15.75,14.70,13.00,"Caramel Flakes","Allez","1kg","PC.","N","","","PASTRY INGRDNTS","N",,14,0.00,"/  /"
"10305PA",200.45,197.65,194.90,187.10,165.10,"Caramel Flakes","Allez","15kg","PAIL","N","","","PASTRY INGRDNTS","Y",,46,0.00,"/  /"
"10305W",204.50,201.65,198.85,190.90,168.40,"Caramel Flakes","Allez","15kg","PAIL","N","","","PASTRY INGRDNTS","Y",,0,0.00,"/  /"
"10634",204.65,201.80,199.00,191.00,168.55,"12 x 20 Flat Poly Bag","Elkay Plastics","1000ct","CASE","N","","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10635",100.25,98.85,97.45,93.55,82.55,"20 x 30 Plat Poly Bags","Elkay Plastics","250ct","CASE","N","","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10636",174.00,171.55,169.20,162.40,143.30,"Thermal Work Gloves","SHOWA","12ct","PKG","N","","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10637",53.60,52.85,52.10,50.05,44.15,"3/16"" Bubble Wrap","OIL ROOM","3ct","ROLL","N","","","NON-FOOD ITEMS","Y",,0,0.00,"/  /"
"10676",13.40,12.45,12.10,11.65,10.25,"Cheddar Powder White SM","Potenza","16oz","PC.","N","","","SPICES","N",,0,0.00,"07/26/23"
"10677",13.80,12.85,12.50,12.00,10.60,"Jalapeno Powder Green SM*","Potenza","8oz","PC.","N","","","SPICES","Y",,0,0.00,"/  /"
"10678",69.15,64.20,62.40,59.90,52.85,"Jalapeno Powder Green LG*","Potenza","104oz","PC.","N","","","SPICES","Y",,0,0.00,"/  /"
"10685",78.00,76.90,75.85,72.80,64.25,"Spicy Matjes Herring 12/12oz*","Blue Hill Bay","12/12oz","CASE","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10995",80.35,79.20,78.10,77.00,77.00,"Olives Cerignola Black","Frutto D'Italia","2/2.5kg","CASE","N","","","OLIVES","N",,1,0.00,"07/24/23"
"10995P",40.80,39.60,39.05,38.50,38.50,"Olives Cerignola Black 5.5lb","Frutto D'Italia","2.5kg","PC.","N","","","OLIVES","N",,0,0.00,"/  /"
"10997",869.65,807.50,0.00,753.70,665.00,"Lemon Oil 3 gallon*","Boyajian","3gal","TUB","N","","","OILS FLAVORED","Y",,7,0.00,"/  /"
"11002",38.85,38.30,37.75,36.25,32.00,"Lemon Oil 12.7oz","Boyajian","12.7oz","PC.","N","","","OILS FLAVORED","N",,2,2.00,"/  /"
"11005",67.90,0.00,0.00,63.35,55.90,"Hoisin Sauce","Lee Kum Kee","6/5lb","CASE","N","","","ASIAN SAUCES","N",,0,30.00,"/  /"
"11005P",13.35,12.80,12.65,12.10,10.70,"Hoisin Sauce 5lb","Ambrosia","5lb","PC.","N","","","ASIAN SAUCES","N",,0,6.00,"/  /"
"11008",81.85,81.85,0.00,70.95,62.60,"Maggi Seasoning","Maggi","6/27oz","CASE","N","","","SAUCES & STOCKS","N",,0,0.00,"/  /"
"11008P",13.65,13.65,0.00,11.85,10.45,"Maggi Seasoning 27oz","Maggi","27oz","PC.","N","","","SAUCES & STOCKS","N",,5,0.00,"/  /"
"11009",111.15,111.15,100.35,96.35,85.00,"Korean Rice Cakes*","Pacific","12/2lb","CASE","N","","","ASIAN FOODS","Y",,0,0.00,"07/25/23"
"11012",73.50,72.45,71.45,68.60,60.50,"Dijon Mustard Smooth","Beaufor","2/11.3lb","CASE","N","","","MUSTARD","N",,4,0.00,"/  /"
"11012P",36.75,36.25,35.75,34.30,30.25,"Dijon Mustard Smooth 11.3lb","Beaufor","11.3lb","PC.","N","","","MUSTARD","N",,1,0.00,"/  /"
"11013",151.55,151.55,140.75,131.35,115.90,"Tapioca Pearls","Pacific","50/14oz","CASE","N","","","PASTRY INGRDNTS","N",,3,0.00,"/  /"
